Collection name: Vector,number of operations: 10000,unit: ms
Add time, Find time, Remove time
0.058424,39.570789,29.715693
0.056451,52.161548,30.403753
0.047765,44.680912,29.574764
0.046976,40.865986,40.815456
0.046976,45.633066,29.554632
0.046976,42.308031,57.858280
0.047765,72.429138,38.642321
0.054871,41.162842,32.043967
0.114875,40.123448,42.078283
0.172508,49.287326,61.168313
0.082109,43.030830,30.063867
0.057240,41.038889,53.499773
0.056450,40.676897,40.301879
0.058424,62.680626,50.218162
0.048160,41.484964,29.567659
0.047371,39.398675,29.727930
0.046976,45.600695,33.135863
0.046581,63.860947,49.943017
0.144087,46.863126,45.461346
0.060792,69.435305,30.271510
0.046187,42.733973,47.566978
0.048950,55.328681,47.269726
0.059609,59.018470,44.725520
0.059214,45.393053,32.614390
0.046976,39.939886,35.906659
0.057240,58.750825,44.048118
0.047766,55.297495,41.882484
0.083688,68.253404,35.441636
0.054871,45.968213,31.279718
0.047370,53.453587,33.326530
0.048555,46.451395,29.940309
0.048556,39.778826,38.704694
0.048555,49.483520,29.773327
0.048555,41.760109,29.708192
0.047370,39.587369,29.486734
0.107769,52.081413,30.020839
0.048160,39.789484,42.020253
0.046976,52.010752,52.320241
0.047766,39.971862,32.416617
0.049344,40.603472,46.033348
0.046976,43.639940,29.499366
0.046581,40.751111,29.896096
0.048555,40.065419,29.434231
0.047371,39.294854,30.238350
0.045792,39.339462,44.913030
0.046187,40.853353,29.976232
0.047371,40.341749,30.132161
0.045791,39.824223,29.838857
0.046186,44.019695,29.473312
0.046581,40.083183,30.139661
0.046976,39.639082,29.268039
0.046977,39.505654,36.241807
0.045792,39.876331,29.658848
0.057634,41.766425,30.138082
0.047765,45.795310,49.680899
0.048949,40.161345,29.970705
0.047766,46.048349,29.522657
0.046186,42.060124,29.603582
0.047766,55.443554,29.609109
0.046186,44.267997,29.868463
0.047371,39.625660,39.223799
0.049739,47.715406,29.338700
0.046976,48.924939,43.979825
0.047370,41.544966,29.605161
0.047765,39.370253,29.514761
0.046581,40.664265,47.519212
0.047370,50.381592,30.762587
0.055661,52.882769,29.813592
0.048950,40.655974,29.338699
0.055660,40.948094,30.736138
0.045792,54.381659,30.801273
0.046581,49.804063,29.412914
0.046976,56.902180,30.103738
0.051319,40.637422,32.983487
0.046187,46.748252,46.387050
0.047765,39.349331,29.581870
0.045792,39.436572,29.646610
0.045791,39.471311,29.261722
0.046581,57.156009,29.655294
0.046581,39.308671,29.491076
0.046581,41.459700,29.411730
0.056055,39.719218,29.276724
0.047371,39.594474,29.399492
0.045397,40.572286,29.633188
0.047371,39.253405,29.676612
0.046976,39.393938,29.454758
0.046976,39.336699,29.347384
0.046976,39.635134,29.532526
0.047371,39.750008,29.334357
0.052503,42.207762,37.448183
0.047370,40.764533,29.530946
0.046582,39.306302,33.144548
0.045792,48.226221,30.478757
0.047766,39.540787,29.858595
0.045791,39.590922,29.281066
0.055265,39.723560,29.515946
0.047371,42.107890,30.459019
0.046976,39.463810,30.216638
0.057240,55.517374,30.074131
0.045792,39.369858,30.607052
0.052503,41.821691,29.628451
0.065134,40.657554,40.258850
0.078162,50.260007,40.757427
0.046187,40.462938,37.095666
0.046581,43.803763,31.834745
0.047371,39.433414,29.391597
0.046976,39.472890,31.071682
0.046186,40.473992,29.908729
0.056055,42.144207,30.726270
0.051319,41.141130,30.018076
0.047765,40.642948,29.600818
0.123164,39.753956,29.846752
0.046186,39.426703,35.019246
0.067899,43.545198,30.478362
0.047765,47.763171,30.003076
0.046976,39.410912,38.214011
0.046186,60.544993,43.635203
0.046581,46.314415,34.280262
0.047765,40.577418,41.219687
0.047765,39.531314,31.339721
0.048160,43.538092,39.787510
0.061977,58.004340,29.975837
0.047371,41.475885,29.904781
0.047371,40.026732,29.527788
0.048555,48.087661,33.360874
0.046581,41.181791,29.439757
0.046186,39.911070,29.800565
0.048160,39.549473,29.682927
0.056844,56.086218,29.501734
0.046582,47.843307,30.117950
0.047766,53.117649,29.345411
0.046976,40.126212,29.315804
0.046581,39.828960,31.444331
0.067898,43.035173,33.824318
0.047766,41.593916,29.550290
0.046581,47.903705,29.508051
0.054082,59.881012,31.588023
0.057240,51.807847,31.434462
0.047766,40.001863,29.331200
0.045397,39.303145,29.339095
0.046581,39.431835,29.473707
0.061187,55.154593,31.262349
0.056844,54.971820,39.956466
0.058029,43.859029,38.200194
0.046186,45.433713,29.545947
0.058424,39.869225,35.480322
0.046581,48.114900,29.810434
0.048555,40.437280,29.553842
0.047371,39.404202,29.375807
0.054871,50.458569,29.538447
0.046581,41.305744,29.417651
0.047766,40.800060,29.450811
0.045791,39.284591,31.387091
0.045791,43.913111,44.866842
0.046186,39.735008,29.351332
0.046976,39.613423,36.492083
0.047371,39.522234,29.429494
0.046186,51.762845,45.306996
0.057635,54.652067,56.959420
0.086057,62.268500,41.430487
0.046976,39.767378,29.859778
0.061977,54.610223,30.136108
0.047766,39.484732,29.773721
0.047765,44.123516,39.168927
0.048160,42.891481,37.203829
0.046582,47.573294,30.603500
0.047371,42.073151,31.466832
0.060792,62.545619,47.145772
0.058424,41.679974,47.493553
0.048160,45.226860,58.924912
0.046187,46.103220,29.568054
0.046976,43.966798,54.243889
0.046186,40.364645,29.737009
0.047766,42.955827,40.435306
0.048555,39.402228,29.689244
0.061582,39.700664,30.298748
0.046187,40.493335,29.633583
0.047370,39.328803,29.395150
0.047766,39.586974,29.310277
0.047766,49.506811,29.321725
0.047371,40.183451,29.601608
0.047371,40.412015,38.902072
0.048949,41.772741,31.271823
0.047766,40.219374,29.915044
0.057634,47.925416,29.731482
0.048160,39.856593,45.641355
0.056055,39.797380,30.888514
0.045002,40.760585,30.144398
0.047370,58.308303,40.338985
0.056450,57.120480,58.332778
0.057240,54.310998,29.855831
0.046581,41.914853,31.544994
0.060793,52.652231,37.134351
0.056056,43.251499,32.064888
0.056845,40.357933,40.696635
0.047371,47.325781,31.884880
0.046976,40.785455,30.262430
0.056845,39.914227,49.752745
0.057635,54.794969,31.373670
0.051318,39.699085,36.458923
0.046187,40.152661,30.217823
0.057635,43.864951,37.447394
0.056845,53.174099,30.888119
0.048555,46.518109,35.003456
0.046976,49.584184,29.489102
0.046976,39.999494,40.299510
0.055661,53.590962,44.292078
0.067504,68.867250,54.153885
0.090794,68.292090,41.298244
0.060003,47.756856,35.754678
0.056451,89.068126,43.194654
0.055661,50.394223,43.330451
0.046581,44.721967,30.829301
